_id,flavors,rating,totalTimeInSeconds,ingredients,sourceDisplayName,recipeName,attributes,id
ObjectId(58e5ee1aa4e2980ece65e792),,4,3000,"[""hawaiian sweet rolls"",""honey glazed ham"",""muenster cheese"",""bacon bits"",""Land O Lakes® Butter"",""ranch dip"",""honey mustard""]",Dining with Alice,Baked Ham Sandwiches,"{""course"":[""Lunch""]}",Baked-Ham-Sandwiches-1192591
ObjectId(58e5ee1aa4e2980ece65e81b),"{""piquant"":0.0,""sour"":0.8333333333333334,""salty"":0.3333333333333333,""sweet"":0.16666666666666666,""bitter"":0.6666666666666666,""meaty"":0.16666666666666666}",4,1500,"[""tomatoes"",""olive oil"",""garlic"",""grated parmesan cheese"",""leaf parsley"",""dried oregano"",""salt""]",The Pioneer Woman,Baked Parmesan Herb Tomatoes,"{""course"":[""Side Dishes""]}",Baked-Parmesan-Herb-Tomatoes-1821070
ObjectId(58e5ee1aa4e2980ece65e873),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.3333333333333333,""sweet"":0.16666666666666666,""bitter"":0.3333333333333333,""meaty"":0.8333333333333334}",5,3600,"[""boneless skinless chicken breasts"",""pesto"",""feta cheese crumbles"",""almond meal"",""parmesan cheese"",""eggs""]",Kalyn's Kitchen,Baked Chicken Breasts Stuffed with Sage-Pecan Pesto and Feta,"{""course"":[""Main Dishes""],""cuisine"":[""Kid-Friendly"",""Italian""]}",Baked-chicken-breasts-stuffed-with-sage-pecan-pesto-and-feta-309612
ObjectId(58e5ee1aa4e2980ece65e87a),,5,1500,"[""whitefish fillets"",""pinenuts"",""parmesan cheese"",""minced garlic"",""basil pesto"",""mayonnaise""]",Kalyn's Kitchen,"Baked White Fish with Pine Nut, Parmesan, and Basil Pesto Crust","{""course"":[""Main Dishes""],""cuisine"":[""Italian""]}",Baked-white-fish-with-pine-nut_-parmesan_-and-basil-pesto-crust-309482
ObjectId(58e5ee1aa4e2980ece65e918),,4,3000,"[""button mushrooms"",""olive oil"",""garlic"",""kosher salt"",""freshly ground black pepper"",""fresh parsley""]",Eat Well 101,Baked Garlic Parsley Mushrooms,"{""course"":[""Side Dishes""]}",Baked-Garlic-Parsley-Mushrooms-1374407
ObjectId(58e5ee1aa4e2980ece65e93d),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.6666666666666666,""meaty"":0.8333333333333334}",5,2100,"[""mozzarella cheese"",""flour"",""egg whites"",""panko breadcrumbs"",""dried parsley""]",How Sweet It Is,Baked Mozzarella Balls,"{""course"":[""Appetizers""]}",Baked-mozzarella-balls-333678
ObjectId(58e5ee1aa4e2980ece65e95b),"{""piquant"":0.0,""sour"":0.6666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",4,3300,"[""baking potatoes"",""extra-virgin olive oil"",""garlic powder"",""sea salt"",""dried parsley"",""parmesan cheese""]",Panlasang Pinoy,Baked Garlic Parmesan French Fries,"{""course"":[""Side Dishes""]}",Baked-Garlic-Parmesan-French-Fries-1187971
ObjectId(58e5ee1aa4e2980ece65e9a2),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.5,""sweet"":0.3333333333333333,""bitter"":0.5,""meaty"":0.5}",4,3900,"[""noodles"",""marinara sauce"",""ground beef"",""mozzarella cheese"",""oregano"",""salt"",""pepper""]",Created by Diane,Baked Ziti,"{""course"":[""Main Dishes""],""cuisine"":[""Italian""]}",Baked-Ziti-1185374
ObjectId(58e5ee1aa4e2980ece65e9a4),,4,2700,"[""zucchini"",""grated parmesan cheese"",""garlic salt"",""ground black pepper""]",Five Heart Home,Baked Parmesan Zucchini Rounds,"{""cuisine"":[""Kid-Friendly""]}",Baked-Parmesan-Zucchini-Rounds-746727
ObjectId(58e5ee1aa4e2980ece65e9a5),"{""piquant"":0.3333333333333333,""sour"":0.8333333333333334,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.6666666666666666,""meaty"":0.5}",4,3600,"[""eggs"",""milk"",""seasoning salt"",""cooked ham"",""shredded cheddar cheese"",""finely chopped onion"",""chopped green bell pepper"",""red bell pepper"",""fresh chives""]",The Seasoned Mom,Baked Western Omelet,"{""course"":[""Breakfast and Brunch""]}",Baked-Western-Omelet-1203701
ObjectId(58e5ee1aa4e2980ece65e9b1),,3,2700,"[""cinnamon"",""sugar"",""butter"",""apple pie filling"",""white bread""]",BigOven,Baked Apple Pie Roll Ups,"{""course"":[""Desserts""]}",Baked-Apple-Pie-Roll-Ups-2005038
ObjectId(58e5ee1aa4e2980ece65e9b5),"{""piquant"":0.0,""sour"":0.8333333333333334,""salty"":0.8333333333333334,""sweet"":0.0,""bitter"":0.16666666666666666,""meaty"":0.6666666666666666}",4,2400,"[""boneless skinless chicken breasts"",""garlic"",""melted butter"",""lemon juice"",""fresh thyme leaves"",""kosher salt"",""cracked black pepper"",""lemon slices"",""thyme sprigs""]",Gimme Some Oven,Baked Lemon Chicken,"{""course"":[""Main Dishes""],""holiday"":[""Sunday Lunch""]}",Baked-Lemon-Chicken-1623832
ObjectId(58e5ee1aa4e2980ece65ea13),"{""sweet"":0.16666666666666666,""sour"":0.3333333333333333,""salty"":0.6666666666666666,""piquant"":0.8333333333333334,""bitter"":0.16666666666666666,""meaty"":0.8333333333333334}",4,2700,"[""yellow onion"",""almond flour"",""paprika"",""cayenne pepper"",""black pepper"",""garlic powder"",""dried oregano"",""dried thyme"",""salt"",""eggs"",""olive oil""]",Paleo Grubs,Baked Blooming Onion,{},Baked-Blooming-Onion-1517147
ObjectId(58e5ee1aa4e2980ece65ea23),,4,4500,"[""baby back ribs"",""salt"",""pepper"",""onion powder"",""garlic powder"",""cayenne"",""cumin"",""bbq sauce""]",Iowa Girl Eats,Baked Ribs,"{""course"":[""Main Dishes""]}",Baked-Ribs-474749
ObjectId(58e5ee1aa4e2980ece65ea41),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.6666666666666666,""sweet"":0.3333333333333333,""bitter"":0.8333333333333334,""meaty"":0.6666666666666666}",4,2400,"[""elbow macaroni"",""butter"",""all-purpose flour"",""milk"",""salt"",""shredded cheese""]",The Country Contessa,Baked Macaroni and Cheese,"{""cuisine"":[""Kid-Friendly""]}",Baked-Macaroni-and-Cheese-1737857
ObjectId(58e5ee1aa4e2980ece65ead9),"{""piquant"":0.0,""sour"":0.8333333333333334,""salty"":0.8333333333333334,""sweet"":0.5,""bitter"":0.8333333333333334,""meaty"":0.5}",3,2700,"[""corn-on-the-cob"",""butter"",""salt""]",BigOven,Baked Corn on the Cob,"{""course"":[""Side Dishes""]}",Baked-Corn-on-the-Cob-1044197
ObjectId(58e5ee1aa4e2980ece65eb52),,3,2400,"[""chicken thighs"",""freshly ground black pepper"",""ranch dressing"",""olive oil"",""garlic""]",Southern Food About.com,Baked Ranch Chicken Thighs,"{""course"":[""Main Dishes""],""cuisine"":[""Kid-Friendly""]}",Baked-Ranch-Chicken-Thighs-1559448
ObjectId(58e5ee1aa4e2980ece65eb5e),"{""sweet"":0.16666666666666666,""sour"":0.8333333333333334,""salty"":0.8333333333333334,""piquant"":0.0,""bitter"":0.8333333333333334,""meaty"":0.8333333333333334}",4,2100,"[""broccoli"",""olive oil"",""garlic"",""pepper"",""salt"",""lemon juice"",""parmesan cheese""]",The Half Baked Housewife,Baked Broccoli. It's nothing short of magical.,{},Baked-Broccoli_-It_s-nothing-short-of-magical_-1306494
ObjectId(58e5ee1aa4e2980ece65eb67),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.3333333333333333,""sweet"":0.16666666666666666,""bitter"":0.3333333333333333,""meaty"":0.5}",4,2700,"[""Italian bread"",""milk"",""pancetta slices"",""onions"",""garlic cloves"",""virgin olive oil"",""large eggs"",""ground chicken"",""tomato paste"",""leaf parsley""]",Smitten Kitchen,Baked Chicken Meatballs,"{""course"":[""Appetizers"",""Main Dishes""]}",Baked-Chicken-Meatballs-1818927
ObjectId(58e5ee1aa4e2980ece65eb80),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.5,""sweet"":0.16666666666666666,""bitter"":0.6666666666666666,""meaty"":0.8333333333333334}",5,4500,"[""boneless skinless chicken breasts"",""parmesan cheese"",""goat cheese"",""sun-dried tomato pesto"",""fresh basil""]",Kalyn's Kitchen,"Baked Chicken Stuffed with Sun-Dried Tomato Pesto, Basil, and Goat Cheese","{""course"":[""Main Dishes""]}",Baked-chicken-stuffed-with-sun-dried-tomato-pesto_-basil_-and-goat-cheese-309957
ObjectId(58e5ee1aa4e2980ece65ebaf),"{""piquant"":0.0,""sour"":0.5,""salty"":0.8333333333333334,""sweet"":0.3333333333333333,""bitter"":0.6666666666666666,""meaty"":0.16666666666666666}",5,1800,"[""chickpeas"",""onions"",""chopped parsley"",""chopped cilantro"",""salt"",""minced garlic"",""ground cumin"",""baking powder"",""whole wheat flour"",""olive oil"",""fat free yogurt"",""sauce"",""lemon juice"",""water""]",Kalyn's Kitchen,Baked Falafel Patties with Yogurt-Tahini Sauce,"{""course"":[""Lunch""],""cuisine"":[""Mediterranean""]}",Baked-falafel-patties-with-yogurt-tahini-sauce-309614
